id tweet,date,text,lang,app,author,id author,name,description,location,created at,author url,description urls,profile image url,followers,following,tweets,relation,user retweeted,tweet hashtags,tweet urls,media keys,id tweet retweeted,media types,media urls,retrieved at
1582752287495458817,2022-10-19 15:15:26,"RT @Elangel_ven0: YO♥️CUMANA 🚩 Tras las lluvias acaecidas en #Cumana el alcalde 👉 .@lossifontes realizo el acercamiento a la comunidad de El ""Tacal sector 2"" y atendió las afectaciones, de la mano con el pueblo✌️ #19Oct #PuebloUnidoYActivo #FelizMiercoles #Sucre ▶️ .@NicolasMaduro https://t.co/d7r1MQhpdP",es,Twitter Web App,ShavelaHermosa,1280509194534346752,♥️⋆ 𝓒𝓱𝓪𝓿𝓮𝓵𝓪 𝓐𝓷𝓭𝓻𝓮𝓲𝓷𝓪 ⋆ ♥️,"Llanera, me gusta viajar y conocer mi país 🇻🇪 ♫ ..En el fogón de tus brazos cocíname a fuego  lento pàque mi alma se sancoche  con el calor de tu cuerpo.♫",Apure,2020-07-07 14:29:32,None,None,https://pbs.twimg.com/profile_images/1539401404896378880/X5TJ6zo2_normal.jpg,4402,3183,73680,retweeted,Elangel_ven0,"['Cumana', '19Oct', 'PuebloUnidoYActivo', 'FelizMiercoles', 'Sucre']","['https://twitter.com/Elangel_ven0/status/1582731414810005504/photo/1', 'https://twitter.com/Elangel_ven0/status/1582731414810005504/photo/1']","['3_1582731389685960709', '3_1582731412389744642']",1582731414810005504,[],[],2022-10-19 15:15:40
1582752285595029505,2022-10-19 15:15:25,RT @sergiofimbres: 📰 Segob vs ego (@osvaldomonos)  #FelizMiercoles https://t.co/mzLhRFzLew,es,Twitter for Android,charly692009,795089089,Carlos Guadarrama,,"Monterrey, Nuevo León",2012-09-01 01:48:06,None,None,https://pbs.twimg.com/profile_images/1511366898511974408/fGGDiT0l_normal.jpg,94,400,47292,retweeted,sergiofimbres,['FelizMiercoles'],['https://twitter.com/sergiofimbres/status/1582692223879348224/photo/1'],['3_1582692219881930752'],1582692223879348224,['photo'],['https://pbs.twimg.com/media/FfbaMELWQAAeaV8.jpg'],2022-10-19 15:15:40
1582752266939138049,2022-10-19 15:15:21,RT @RocioRo55: #FelizMiércoles hoy sera un excelente día!! https://t.co/uUO20FXDIN,es,Twitter for Android,RocioRo55,1580963194448842754,Rocio Rodriguez,,None,2022-10-14 16:46:42,None,None,https://pbs.twimg.com/profile_images/1581067682048245766/H4OEiuFD_normal.jpg,82,102,42,retweeted,RocioRo55,['FelizMiércoles'],['https://twitter.com/Motivos14185270/status/1582709103821918213'],[],1582752218209402881,[],[],2022-10-19 15:15:40
1582752259091595267,2022-10-19 15:15:19,RT @Motivos14185270: Que sea hoy un día lleno de bendiciones! #FelizMiercoles https://t.co/IRB3FDUcBM,es,Twitter for Android,Lauramonroy33,1323795044889817089,Laura Monroy,,México,2020-11-04 01:12:05,None,None,https://pbs.twimg.com/profile_images/1575641140245692416/ugyYN9TE_normal.jpg,63,27,252,retweeted,Motivos14185270,['FelizMiercoles'],['https://twitter.com/Motivos14185270/status/1582709103821918213/photo/1'],['3_1582709101385113600'],1582709103821918213,['photo'],['https://pbs.twimg.com/media/FfbpisrWYAAgs9v.jpg'],2022-10-19 15:15:40
1582752255454851072,2022-10-19 15:15:18,"RT @MObras_Publicas: #BuenosDíasATodos ☕️🫓🗞️🌳🇻🇪🏔️💼  #FelizMiercoles #19Oct #1x10DelBuenGobierno #PuebloUnidoYActivo  ""En un mundo de plástico y ruido, quiero ser de barro y de silencio"". Eduardo Galeano  Estatua San Fernando- Estado #Apure https://t.co/qeBz5j3hMu",es,Twitter for Android,IsabelTeresaSu4,1224625887993376769,🎄💫 @IsabelTeresaSu4 💫,Chavez Vive ... La Lucha Sigue,Venezuela,2020-02-04 09:29:25,None,None,https://pbs.twimg.com/profile_images/1573818086469390336/p5v3CSpU_normal.jpg,1248,1227,65797,retweeted,MObras_Publicas,"['BuenosDíasATodos', 'FelizMiercoles', '19Oct', '1x10DelBuenGobierno', 'PuebloUnidoYActivo', 'Apure']",['https://twitter.com/MObras_Publicas/status/1582695010180308992/photo/1'],['3_1582694999673769986'],1582695010180308992,[],[],2022-10-19 15:15:40
1582752255375130625,2022-10-19 15:15:18,RT @anaivan36556216: Good morning everyone...#WednesdayWorkout #MiercolesDeCulitosLindos sera que califico? #FelizMiercoles a todos y todas y todes😅 https://t.co/wRSKTywjAl,es,Twitter for Android,Ratmans69,1180358075364134913,Juan Ratón,,None,2019-10-05 05:44:45,None,None,https://pbs.twimg.com/profile_images/1261476711792852992/WtBE8R3F_normal.jpg,21,179,2161,retweeted,anaivan36556216,"['WednesdayWorkout', 'MiercolesDeCulitosLindos', 'FelizMiercoles']",['https://twitter.com/anaivan36556216/status/1582711887946399745/photo/1'],['3_1582711885031387136'],1582711887946399745,[],[],2022-10-19 15:15:40
1582752237172174848,2022-10-19 15:15:14,RT @AndaluciaSinVOX: #FelizMiercoles https://t.co/aIOrnAvAZX,qme,Twitter for Android,Republicano1966,1565783211975884809,Republicano,De izquierdas desde pequeñito. Todo lo ecologista que puedo ser,None,2022-09-02 19:26:36,None,None,https://pbs.twimg.com/profile_images/1571931513700159492/Y87CWMgd_normal.jpg,184,450,829,retweeted,AndaluciaSinVOX,['FelizMiercoles'],['https://twitter.com/AndaluciaSinVOX/status/1582603657191002112/photo/1'],['3_1582603652614733825'],1582603657191002112,['photo'],['https://pbs.twimg.com/media/FfaJoxZWQAE_bYR.jpg'],2022-10-19 15:15:40
1582752218209402881,2022-10-19 15:15:09,#FelizMiércoles hoy sera un excelente día!! https://t.co/uUO20FXDIN,es,Twitter for Android,RocioRo55,1580963194448842754,Rocio Rodriguez,,None,2022-10-14 16:46:42,None,None,https://pbs.twimg.com/profile_images/1581067682048245766/H4OEiuFD_normal.jpg,82,102,42,quoted,None,['FelizMiércoles'],['https://twitter.com/Motivos14185270/status/1582709103821918213'],[],,[],[],2022-10-19 15:15:40
1582752196877201410,2022-10-19 15:15:04,RT @Motivos14185270: Que sea hoy un día lleno de bendiciones! #FelizMiercoles https://t.co/IRB3FDUcBM,es,Twitter for Android,martha_arell,1476029382137319425,@martha_arellano,,None,2021-12-29 03:17:15,None,None,https://pbs.twimg.com/profile_images/1476668477247307784/QefEYoqC_normal.jpg,215,345,1130,retweeted,Motivos14185270,['FelizMiercoles'],['https://twitter.com/Motivos14185270/status/1582709103821918213/photo/1'],['3_1582709101385113600'],1582709103821918213,['photo'],['https://pbs.twimg.com/media/FfbpisrWYAAgs9v.jpg'],2022-10-19 15:15:40
1582752183669620736,2022-10-19 15:15:01,"RT @MiercolesRepubl: Wyoming: “El 20 de noviembre de 1975 se murió Franco y con él no se murieron 40 millones franquistas, no es verdad, aquí durante 40 años se creó una sociologia lógica del franquismo, que aún persiste...”   #FelizMiércoles https://t.co/RVdVggxlar",es,Twitter for Android,elcai19591,1010811400212697088,elcai@1959,,None,2018-06-24 09:06:32,None,None,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,44,43,14604,retweeted,MiercolesRepubl,['FelizMiércoles'],['https://twitter.com/MiercolesRepubl/status/1411728779966402561/video/1'],['7_1411728388537131010'],1582688007294832640,[],[],2022-10-19 15:15:40
1582752179147968515,2022-10-19 15:15:00,"¿Te gusta cantar? ... Estamos en Audiciones!! te invitamos a formar parte de la #CoralAngeluzDomini en #Maracay #SantaRosa. Anímate, ven, canta con nosotros y si no compártelo con tus seguidores #19Oct #FelizMiercoles #FECCOAD #MusicaParaVivir https://t.co/4uWdYVEAIQ",es,TweetDeck,AngeluzDominiCC,3614466736,Angeluz Domini,"Fundación encargada de la enseñanza del canto coral a niños, jóvenes y adultos sin ningún tipo de discriminación.","Maracay, Venezuela",2015-09-10 23:21:41,['http://linktr.ee/FundacionAngeluzDomini'],None,https://pbs.twimg.com/profile_images/1380964240887054341/sTIyM1tS_normal.jpg,726,1296,21415,tweet,None,"['CoralAngeluzDomini', 'Maracay', 'SantaRosa', '19Oct', 'FelizMiercoles', 'FECCOAD', 'MusicaParaVivir']",['https://twitter.com/AngeluzDominiCC/status/1582752179147968515/photo/1'],['3_1581835887838650368'],,['photo'],['https://pbs.twimg.com/media/FfPPW-uWYAAPdEP.jpg'],2022-10-19 15:15:40
1582752106783469568,2022-10-19 15:14:43,Pasa un #FelizMiercoles escuchando nuestro podcast en Spotify: https://t.co/kw2WbnuLUS,es,Twitter for Android,PELUCHEpodcast,2367510686,LICANTROPO DE PELUCHE,Cine+Rock+COMEDIA con Lican Wolf y Zombi Brócoli ESCUCHA nuestro Spotify Podcast: https://t.co/QCMnqwGdOT,"Nuevo León, México",2014-03-01 19:25:59,['https://www.youtube.com/channel/UCfS2NNEPD9DTpmpEUi9a79g'],['https://open.spotify.com/show/2yimIxtMWDk2p2uWMtiPMz?si=gapzDk8tQqqoWqZPV2bQ-Q'],https://pbs.twimg.com/profile_images/1455947880108285965/OeljMDJk_normal.jpg,210,663,3622,tweet,None,['FelizMiercoles'],['https://open.spotify.com/episode/1Usk79L9ZVJgix5dNrflGe?si=z07Im2R-Q8i7dnZ8s3pLzQ'],[],,[],[],2022-10-19 15:15:40
1582752104296243201,2022-10-19 15:14:42,"RT @INAMEH: así mismo, nubosidad fragmentada en áreas del Táchira, Barinas, Lara, Yaracuy, este de Miranda, Anzoátegui y Monagas; el resto del país se aprecia zonas despejadas. #Reporte de las 04:40 HLV #FelizMiércoles",es,Twitter for Android,Jeiseer42,1557515563324276738,Jeiseer Rafael Nunez Bracho,chavista  revolucionario 100% apoyo a nuestro presidente Nicolas Maduro que viva la patria,"Zulia, Venezuela",2022-08-10 23:54:06,None,None,https://pbs.twimg.com/profile_images/1557516929279135746/OpdzmDhd_normal.jpg,90,266,25146,retweeted,INAMEH,"['Reporte', 'FelizMiércoles']",None,[],1582653656943726592,[],[],2022-10-19 15:15:40
1582752099774779394,2022-10-19 15:14:41,"RT @Tabarnia_BCN: Mira este vídeo y compártelo todo los que puedas. Que nadie pueda decir que no estaba advertido de la invasión.  ""Váyanse preparando"" ¿Estáis preparados? #FelizMiercoles https://t.co/pBQjIWb4yu",es,Twitter for Android,alexmin93,283920574,min 93,,None,2011-04-18 08:22:43,None,None,https://pbs.twimg.com/profile_images/574992224804454404/Zc9JLlgv_normal.jpeg,222,401,30531,retweeted,Tabarnia_BCN,['FelizMiercoles'],['https://twitter.com/Tabarnia_BCN/status/1582606469085597696/video/1'],['7_1582606409736257537'],1582606469085597696,[],[],2022-10-19 15:15:40
1582752071203586048,2022-10-19 15:14:34,RT @Belen_ydiego: Bonito ombliguito de semana #FelizMiercoles https://t.co/bUSnD4ywzH,pt,Twitter for Android,lukas_karitA,734442566754541568,Armando Carita De Pe,Experimentando los placeres de la vida... Amante de las mujeres lactantes 🍼🍼 y embarazadas 🤰,"Azcapotzalco, Distrito Federal",2016-05-22 17:55:28,None,None,https://pbs.twimg.com/profile_images/794254425858527232/R3no2s5v_normal.jpg,350,4970,2824,retweeted,Belen_ydiego,['FelizMiercoles'],['https://twitter.com/Belen_ydiego/status/1582725024544264193/photo/1'],['3_1582725022619156480'],1582725024544264193,['photo'],['https://pbs.twimg.com/media/Ffb4Bb5WQAAMvpn.jpg'],2022-10-19 15:15:40
